origin_airport,destination_airport,num_flights,o_lat,o_long,d_lat,d_long
PDX,SEA,4224,45.58872,-122.5975,47.44898,-122.30931000000001
OAK,SEA,3421,37.72129,-122.22072,47.44898,-122.30931000000001
DTW,SEA,2312,42.21206,-83.34884,47.44898,-122.30931000000001
CLT,SEA,984,35.214009999999995,-80.94313000000001,47.44898,-122.30931000000001
MSY,SEA,365,29.99339,-90.25803,47.44898,-122.30931000000001
IAH,SEA,2502,29.98047,-95.33972,47.44898,-122.30931000000001
SJC,SEA,3920,37.36186,-121.92901,47.44898,-122.30931000000001
RDU,SEA,560,35.87764,-78.78747,47.44898,-122.30931000000001
SNA,SEA,2480,33.67566,-117.86822,47.44898,-122.30931000000001
SMF,SEA,4411,38.69542,-121.59076999999999,47.44898,-122.30931000000001
MDW,SEA,1032,41.78598,-87.75242,47.44898,-122.30931000000001
BUR,SEA,1112,34.20062,-118.3585,47.44898,-122.30931000000001
STL,SEA,841,38.747690000000006,-90.35999,47.44898,-122.30931000000001
IND,SEA,235,39.71733,-86.29438,47.44898,-122.30931000000001
IAD,SEA,1322,38.94453,-77.45581,47.44898,-122.30931000000001
AUS,SEA,1154,30.19453,-97.66986999999999,47.44898,-122.30931000000001
MCI,SEA,988,39.29761,-94.71391,47.44898,-122.30931000000001
SAT,SEA,365,29.533690000000004,-98.46978,47.44898,-122.30931000000001
MKE,SEA,722,42.94722,-87.89658,47.44898,-122.30931000000001
BNA,SEA,677,36.12448,-86.67818,47.44898,-122.30931000000001
CHS,SEA,209,32.89865,-80.04051,47.44898,-122.30931000000001
GEG,SEA,3393,47.619859999999996,-117.53383999999998,47.44898,-122.30931000000001
CLE,SEA,96,41.41089,-81.8494,47.44898,-122.30931000000001
RNO,SEA,109,39.49858,-119.76806,47.44898,-122.30931000000001
TUS,SEA,493,32.11608,-110.94103,47.44898,-122.30931000000001
ONT,SEA,874,34.056,-117.60118999999999,47.44898,-122.30931000000001
MSN,SEA,1,43.13986,-89.33751,47.44898,-122.30931000000001
LGB,SEA,729,33.81772,-118.15161,47.44898,-122.30931000000001
CVG,SEA,97,39.04614,-84.66216999999999,47.44898,-122.30931000000001
OMA,SEA,365,41.30252,-95.89416999999999,47.44898,-122.30931000000001
BOI,SEA,2614,43.564440000000005,-116.22278,47.44898,-122.30931000000001
PSP,SEA,911,33.82922,-116.50625,47.44898,-122.30931000000001
ABQ,SEA,364,35.04022,-106.60918999999998,47.44898,-122.30931000000001
ICT,SEA,158,37.64996,-97.43305,47.44898,-122.30931000000001
COS,SEA,165,38.80581,-104.70025,47.44898,-122.30931000000001
SBA,SEA,292,34.42621,-119.84037,47.44898,-122.30931000000001
OKC,SEA,255,35.39309,-97.60073,47.44898,-122.30931000000001
FAT,SEA,739,36.77619,-119.71813999999999,47.44898,-122.30931000000001
FAI,SEA,1700,64.81368,-147.85967,47.44898,-122.30931000000001
MFR,SEA,91,42.37423,-122.8735,47.44898,-122.30931000000001
JNU,SEA,1413,58.35496,-134.57628,47.44898,-122.30931000000001
KTN,SEA,1385,55.35556999999999,-131.71374,47.44898,-122.30931000000001
RDM,SEA,377,44.25407,-121.14996000000001,47.44898,-122.30931000000001
SBP,SEA,140,35.23706,-120.64238999999999,47.44898,-122.30931000000001
PSC,SEA,1312,46.26468,-119.11903000000001,47.44898,-122.30931000000001
EUG,SEA,616,44.123259999999995,-123.21869,47.44898,-122.30931000000001
BZN,SEA,236,45.7769,-111.15301000000001,47.44898,-122.30931000000001
TWF,SEA,4,42.4818,-114.48773999999999,47.44898,-122.30931000000001
JAC,SEA,37,43.60732,-110.73773999999999,47.44898,-122.30931000000001
SUN,SEA,26,43.50484,-114.29659,47.44898,-122.30931000000001
SIT,SEA,299,57.04714,-135.3616,47.44898,-122.30931000000001
BLI,SEA,429,48.79275,-122.53753,47.44898,-122.30931000000001
HDN,SEA,49,40.48118,-107.21766000000001,47.44898,-122.30931000000001
SFO,LAS,8412,37.619,-122.37483999999999,36.08036,-115.15233
LAX,LAS,11032,33.94254,-118.40807,36.08036,-115.15233
JFK,LAS,4113,40.63975,-73.77893,36.08036,-115.15233
ORD,LAS,4803,41.9796,-87.90446,36.08036,-115.15233
SEA,LAS,6429,47.44898,-122.30931000000001,36.08036,-115.15233
HNL,LAS,933,21.31869,-157.92241,36.08036,-115.15233
ATL,LAS,4676,33.640440000000005,-84.42694,36.08036,-115.15233
MCO,LAS,1113,28.428890000000003,-81.31603,36.08036,-115.15233
DEN,LAS,7185,39.85841,-104.667,36.08036,-115.15233
BOS,LAS,1315,42.36435,-71.00518000000001,36.08036,-115.15233
DCA,LAS,359,38.85208,-77.03772,36.08036,-115.15233
FLL,LAS,1095,26.07258,-80.15275,36.08036,-115.15233
SAN,LAS,5218,32.73356,-117.18966,36.08036,-115.15233
PHX,LAS,5500,33.43417,-112.00806000000001,36.08036,-115.15233
MSP,LAS,2834,44.88055,-93.21692,36.08036,-115.15233
SLC,LAS,4081,40.78839,-111.97776999999999,36.08036,-115.15233
DFW,LAS,4445,32.89595,-97.0372,36.08036,-115.15233
EWR,LAS,2154,40.6925,-74.16866,36.08036,-115.15233
TPA,LAS,1032,27.97547,-82.53325,36.08036,-115.15233
HOU,LAS,1603,29.64542,-95.27889,36.08036,-115.15233
DAL,LAS,2077,32.84711,-96.85177,36.08036,-115.15233
PHL,LAS,2061,39.87195,-75.24114,36.08036,-115.15233
ANC,LAS,78,61.174319999999994,-149.99618999999998,36.08036,-115.15233
BWI,LAS,2058,39.1754,-76.6682,36.08036,-115.15233
MIA,LAS,1395,25.79325,-80.29056,36.08036,-115.15233
PDX,LAS,2819,45.58872,-122.5975,36.08036,-115.15233
OAK,LAS,3839,37.72129,-122.22072,36.08036,-115.15233
DTW,LAS,3229,42.21206,-83.34884,36.08036,-115.15233
CLT,LAS,1696,35.214009999999995,-80.94313000000001,36.08036,-115.15233
MSY,LAS,1084,29.99339,-90.25803,36.08036,-115.15233
IAH,LAS,2955,29.98047,-95.33972,36.08036,-115.15233
SJC,LAS,3052,37.36186,-121.92901,36.08036,-115.15233
RDU,LAS,554,35.87764,-78.78747,36.08036,-115.15233
SNA,LAS,3305,33.67566,-117.86822,36.08036,-115.15233
SMF,LAS,2746,38.69542,-121.59076999999999,36.08036,-115.15233
MDW,LAS,2985,41.78598,-87.75242,36.08036,-115.15233
BUR,LAS,3319,34.20062,-118.3585,36.08036,-115.15233
STL,LAS,1656,38.747690000000006,-90.35999,36.08036,-115.15233
IND,LAS,1016,39.71733,-86.29438,36.08036,-115.15233
IAD,LAS,836,38.94453,-77.45581,36.08036,-115.15233
AUS,LAS,1477,30.19453,-97.66986999999999,36.08036,-115.15233
MCI,LAS,1757,39.29761,-94.71391,36.08036,-115.15233
CMH,LAS,1074,39.99799,-82.89188,36.08036,-115.15233
SAT,LAS,1560,29.533690000000004,-98.46978,36.08036,-115.15233
MKE,LAS,1455,42.94722,-87.89658,36.08036,-115.15233
BNA,LAS,1285,36.12448,-86.67818,36.08036,-115.15233
PIT,LAS,1094,40.49147,-80.23286999999999,36.08036,-115.15233
MEM,LAS,80,35.04242,-89.97667,36.08036,-115.15233
GEG,LAS,729,47.619859999999996,-117.53383999999998,36.08036,-115.15233
CLE,LAS,1223,41.41089,-81.8494,36.08036,-115.15233
BHM,LAS,374,33.562940000000005,-86.75355,36.08036,-115.15233
RNO,LAS,3175,39.49858,-119.76806,36.08036,-115.15233
TUS,LAS,1087,32.11608,-110.94103,36.08036,-115.15233
ONT,LAS,1498,34.056,-117.60118999999999,36.08036,-115.15233
MSN,LAS,60,43.13986,-89.33751,36.08036,-115.15233
LGB,LAS,2680,33.81772,-118.15161,36.08036,-115.15233
SDF,LAS,376,38.17439,-85.736,36.08036,-115.15233
CVG,LAS,725,39.04614,-84.66216999999999,36.08036,-115.15233
OMA,LAS,940,41.30252,-95.89416999999999,36.08036,-115.15233
BOI,LAS,727,43.564440000000005,-116.22278,36.08036,-115.15233
TUL,LAS,364,36.198370000000004,-95.88824,36.08036,-115.15233
ABQ,LAS,1348,35.04022,-106.60918999999998,36.08036,-115.15233
BDL,LAS,251,41.93887,-72.68323000000001,36.08036,-115.15233
ICT,LAS,365,37.64996,-97.43305,36.08036,-115.15233
COS,LAS,330,38.80581,-104.70025,36.08036,-115.15233
BUF,LAS,615,42.94052,-78.73217,36.08036,-115.15233
LIT,LAS,365,34.7294,-92.22425,36.08036,-115.15233
OKC,LAS,719,35.39309,-97.60073,36.08036,-115.15233
CID,LAS,22,41.88459,-91.71087,36.08036,-115.15233
ALB,LAS,114,42.74812,-73.80298,36.08036,-115.15233
LBB,LAS,374,33.66364,-101.82278000000001,36.08036,-115.15233
CAK,LAS,178,40.916309999999996,-81.44247,36.08036,-115.15233
MAF,LAS,375,31.942529999999998,-102.20191,36.08036,-115.15233
DSM,LAS,395,41.534929999999996,-93.66068,36.08036,-115.15233
FSD,LAS,105,43.58135,-96.7417,36.08036,-115.15233
ELP,LAS,745,31.80667,-106.37781000000001,36.08036,-115.15233
AMA,LAS,375,35.21937,-101.70593000000001,36.08036,-115.15233
BIS,LAS,66,46.77411,-100.74672,36.08036,-115.15233
MHK,LAS,1,39.14097,-96.67083000000001,36.08036,-115.15233
BLI,LAS,154,48.79275,-122.53753,36.08036,-115.15233
SFO,JFK,7887,37.619,-122.37483999999999,40.63975,-73.77893
LAX,JFK,12752,33.94254,-118.40807,40.63975,-73.77893
LAS,JFK,4113,36.08036,-115.15233,40.63975,-73.77893
ORD,JFK,1381,41.9796,-87.90446,40.63975,-73.77893
SEA,JFK,2637,47.44898,-122.30931000000001,40.63975,-73.77893
HNL,JFK,425,21.31869,-157.92241,40.63975,-73.77893
ATL,JFK,2451,33.640440000000005,-84.42694,40.63975,-73.77893
MCO,JFK,5172,28.428890000000003,-81.31603,40.63975,-73.77893
DEN,JFK,1369,39.85841,-104.667,40.63975,-73.77893
BOS,JFK,4499,42.36435,-71.00518000000001,40.63975,-73.77893
DCA,JFK,440,38.85208,-77.03772,40.63975,-73.77893
FLL,JFK,4114,26.07258,-80.15275,40.63975,-73.77893
SAN,JFK,2172,32.73356,-117.18966,40.63975,-73.77893
PHX,JFK,2612,33.43417,-112.00806000000001,40.63975,-73.77893
MSP,JFK,1277,44.88055,-93.21692,40.63975,-73.77893
SLC,JFK,1985,40.78839,-111.97776999999999,40.63975,-73.77893
DFW,JFK,496,32.89595,-97.0372,40.63975,-73.77893
TPA,JFK,2704,27.97547,-82.53325,40.63975,-73.77893
HOU,JFK,368,29.64542,-95.27889,40.63975,-73.77893
PHL,JFK,224,39.87195,-75.24114,40.63975,-73.77893
MIA,JFK,3632,25.79325,-80.29056,40.63975,-73.77893
PDX,JFK,988,45.58872,-122.5975,40.63975,-73.77893
OAK,JFK,314,37.72129,-122.22072,40.63975,-73.77893
DTW,JFK,429,42.21206,-83.34884,40.63975,-73.77893
CLT,JFK,2626,35.214009999999995,-80.94313000000001,40.63975,-73.77893
JAX,JFK,1071,30.494059999999998,-81.68786,40.63975,-73.77893
MSY,JFK,1418,29.99339,-90.25803,40.63975,-73.77893
SJC,JFK,321,37.36186,-121.92901,40.63975,-73.77893
RDU,JFK,810,35.87764,-78.78747,40.63975,-73.77893
SMF,JFK,323,38.69542,-121.59076999999999,40.63975,-73.77893
PBI,JFK,1766,26.683159999999997,-80.09559,40.63975,-73.77893
BUR,JFK,362,34.20062,-118.3585,40.63975,-73.77893
IND,JFK,1,39.71733,-86.29438,40.63975,-73.77893
SJU,JFK,3287,18.439420000000002,-66.00183,40.63975,-73.77893
IAD,JFK,1038,38.94453,-77.45581,40.63975,-73.77893
RSW,JFK,1106,26.536170000000002,-81.75516999999999,40.63975,-73.77893
AUS,JFK,1966,30.19453,-97.66986999999999,40.63975,-73.77893
SAT,JFK,358,29.533690000000004,-98.46978,40.63975,-73.77893
PIT,JFK,3,40.49147,-80.23286999999999,40.63975,-73.77893
SAV,JFK,733,32.12758,-81.20214,40.63975,-73.77893
CHS,JFK,1390,32.89865,-80.04051,40.63975,-73.77893
RNO,JFK,301,39.49858,-119.76806,40.63975,-73.77893
TUS,JFK,123,32.11608,-110.94103,40.63975,-73.77893
LGB,JFK,697,33.81772,-118.15161,40.63975,-73.77893
CVG,JFK,3,39.04614,-84.66216999999999,40.63975,-73.77893
PSP,JFK,182,33.82922,-116.50625,40.63975,-73.77893
ABQ,JFK,313,35.04022,-106.60918999999998,40.63975,-73.77893
BUF,JFK,2277,42.94052,-78.73217,40.63975,-73.77893
SRQ,JFK,365,27.395329999999998,-82.55411,40.63975,-73.77893
DAB,JFK,365,29.179920000000003,-81.05806,40.63975,-73.77893
SYR,JFK,1091,43.11119,-76.10631,40.63975,-73.77893
PWM,JFK,1227,43.64617,-70.30875,40.63975,-73.77893
BTV,JFK,1167,44.473,-73.15031,40.63975,-73.77893
ROC,JFK,1162,43.11887,-77.67238,40.63975,-73.77893
STT,JFK,456,18.337310000000002,-64.97336,40.63975,-73.77893
JAC,JFK,15,43.60732,-110.73773999999999,40.63975,-73.77893
BQN,JFK,459,18.49486,-67.12944,40.63975,-73.77893
EGE,JFK,109,39.64257,-106.9177,40.63975,-73.77893
ACK,JFK,432,41.25305,-70.06018,40.63975,-73.77893
PSE,JFK,311,18.0083,-66.56300999999999,40.63975,-73.77893
BGR,JFK,89,44.80744,-68.82814,40.63975,-73.77893
MVY,JFK,161,41.393029999999996,-70.61433000000001,40.63975,-73.77893
HYA,JFK,94,41.669340000000005,-70.28036,40.63975,-73.77893
SFO,SAN,7800,37.619,-122.37483999999999,32.73356,-117.18966
LAX,SAN,3541,33.94254,-118.40807,32.73356,-117.18966
JFK,SAN,2173,40.63975,-73.77893,32.73356,-117.18966
LAS,SAN,5229,36.08036,-115.15233,32.73356,-117.18966
ORD,SAN,3209,41.9796,-87.90446,32.73356,-117.18966
SEA,SAN,3739,47.44898,-122.30931000000001,32.73356,-117.18966
HNL,SAN,709,21.31869,-157.92241,32.73356,-117.18966
OGG,SAN,387,20.89865,-156.43046,32.73356,-117.18966
ATL,SAN,2326,33.640440000000005,-84.42694,32.73356,-117.18966
MCO,SAN,980,28.428890000000003,-81.31603,32.73356,-117.18966
DEN,SAN,4365,39.85841,-104.667,32.73356,-117.18966
BOS,SAN,1045,42.36435,-71.00518000000001,32.73356,-117.18966
FLL,SAN,311,26.07258,-80.15275,32.73356,-117.18966
PHX,SAN,5393,33.43417,-112.00806000000001,32.73356,-117.18966
MSP,SAN,1230,44.88055,-93.21692,32.73356,-117.18966
SLC,SAN,2556,40.78839,-111.97776999999999,32.73356,-117.18966
DFW,SAN,3368,32.89595,-97.0372,32.73356,-117.18966
KOA,SAN,168,19.738770000000002,-156.04563000000002,32.73356,-117.18966
EWR,SAN,1489,40.6925,-74.16866,32.73356,-117.18966
HOU,SAN,756,29.64542,-95.27889,32.73356,-117.18966
DAL,SAN,1071,32.84711,-96.85177,32.73356,-117.18966
PHL,SAN,750,39.87195,-75.24114,32.73356,-117.18966
LIH,SAN,220,21.97598,-159.33896000000001,32.73356,-117.18966
BWI,SAN,1454,39.1754,-76.6682,32.73356,-117.18966
MIA,SAN,599,25.79325,-80.29056,32.73356,-117.18966
PDX,SAN,1860,45.58872,-122.5975,32.73356,-117.18966
OAK,SAN,3919,37.72129,-122.22072,32.73356,-117.18966
DTW,SAN,776,42.21206,-83.34884,32.73356,-117.18966
CLT,SAN,889,35.214009999999995,-80.94313000000001,32.73356,-117.18966
MSY,SAN,365,29.99339,-90.25803,32.73356,-117.18966
IAH,SAN,2111,29.98047,-95.33972,32.73356,-117.18966
SJC,SAN,4875,37.36186,-121.92901,32.73356,-117.18966
SMF,SAN,4391,38.69542,-121.59076999999999,32.73356,-117.18966
MDW,SAN,1291,41.78598,-87.75242,32.73356,-117.18966
STL,SAN,579,38.747690000000006,-90.35999,32.73356,-117.18966
IND,SAN,93,39.71733,-86.29438,32.73356,-117.18966
IAD,SAN,975,38.94453,-77.45581,32.73356,-117.18966
AUS,SAN,970,30.19453,-97.66986999999999,32.73356,-117.18966
MCI,SAN,606,39.29761,-94.71391,32.73356,-117.18966
SAT,SAN,755,29.533690000000004,-98.46978,32.73356,-117.18966
MKE,SAN,241,42.94722,-87.89658,32.73356,-117.18966
BNA,SAN,462,36.12448,-86.67818,32.73356,-117.18966
GEG,SAN,93,47.619859999999996,-117.53383999999998,32.73356,-117.18966
CLE,SAN,78,41.41089,-81.8494,32.73356,-117.18966
RNO,SAN,736,39.49858,-119.76806,32.73356,-117.18966
TUS,SAN,764,32.11608,-110.94103,32.73356,-117.18966
CVG,SAN,59,39.04614,-84.66216999999999,32.73356,-117.18966
OMA,SAN,126,41.30252,-95.89416999999999,32.73356,-117.18966
BOI,SAN,584,43.564440000000005,-116.22278,32.73356,-117.18966
ABQ,SAN,705,35.04022,-106.60918999999998,32.73356,-117.18966
COS,SAN,140,38.80581,-104.70025,32.73356,-117.18966
FAT,SAN,701,36.77619,-119.71813999999999,32.73356,-117.18966
HDN,SAN,32,40.48118,-107.21766000000001,32.73356,-117.18966
SFO,DEN,7307,37.619,-122.37483999999999,39.85841,-104.667
LAX,DEN,8558,33.94254,-118.40807,39.85841,-104.667
JFK,DEN,1367,40.63975,-73.77893,39.85841,-104.667
LAS,DEN,7133,36.08036,-115.15233,39.85841,-104.667
LGA,DEN,3881,40.77724,-73.87261,39.85841,-104.667
ORD,DEN,6650,41.9796,-87.90446,39.85841,-104.667
SEA,DEN,6569,47.44898,-122.30931000000001,39.85841,-104.667
HNL,DEN,377,21.31869,-157.92241,39.85841,-104.667
OGG,DEN,222,20.89865,-156.43046,39.85841,-104.667
ATL,DEN,5790,33.640440000000005,-84.42694,39.85841,-104.667
MCO,DEN,3347,28.428890000000003,-81.31603,39.85841,-104.667
BOS,DEN,2849,42.36435,-71.00518000000001,39.85841,-104.667
DCA,DEN,1456,38.85208,-77.03772,39.85841,-104.667
FLL,DEN,1496,26.07258,-80.15275,39.85841,-104.667
SAN,DEN,4623,32.73356,-117.18966,39.85841,-104.667
PHX,DEN,7655,33.43417,-112.00806000000001,39.85841,-104.667
MSP,DEN,5876,44.88055,-93.21692,39.85841,-104.667
SLC,DEN,7471,40.78839,-111.97776999999999,39.85841,-104.667
DFW,DEN,5434,32.89595,-97.0372,39.85841,-104.667
KOA,DEN,157,19.738770000000002,-156.04563000000002,39.85841,-104.667
EWR,DEN,3291,40.6925,-74.16866,39.85841,-104.667
TPA,DEN,2124,27.97547,-82.53325,39.85841,-104.667
HOU,DEN,2044,29.64542,-95.27889,39.85841,-104.667
DAL,DEN,2423,32.84711,-96.85177,39.85841,-104.667
PHL,DEN,2731,39.87195,-75.24114,39.85841,-104.667
ANC,DEN,438,61.174319999999994,-149.99618999999998,39.85841,-104.667
LIH,DEN,49,21.97598,-159.33896000000001,39.85841,-104.667
BWI,DEN,2453,39.1754,-76.6682,39.85841,-104.667
MIA,DEN,1464,25.79325,-80.29056,39.85841,-104.667
PDX,DEN,3713,45.58872,-122.5975,39.85841,-104.667
OAK,DEN,1681,37.72129,-122.22072,39.85841,-104.667
DTW,DEN,3237,42.21206,-83.34884,39.85841,-104.667
CLT,DEN,2825,35.214009999999995,-80.94313000000001,39.85841,-104.667
JAX,DEN,372,30.494059999999998,-81.68786,39.85841,-104.667
MSY,DEN,1672,29.99339,-90.25803,39.85841,-104.667
IAH,DEN,4495,29.98047,-95.33972,39.85841,-104.667
SJC,DEN,2564,37.36186,-121.92901,39.85841,-104.667
RDU,DEN,1539,35.87764,-78.78747,39.85841,-104.667
SNA,DEN,3736,33.67566,-117.86822,39.85841,-104.667
SMF,DEN,2963,38.69542,-121.59076999999999,39.85841,-104.667
MDW,DEN,3101,41.78598,-87.75242,39.85841,-104.667
PBI,DEN,62,26.683159999999997,-80.09559,39.85841,-104.667
BUR,DEN,1444,34.20062,-118.3585,39.85841,-104.667
STL,DEN,2435,38.747690000000006,-90.35999,39.85841,-104.667
IND,DEN,2094,39.71733,-86.29438,39.85841,-104.667
RIC,DEN,364,37.50517,-77.31967,39.85841,-104.667
